type,device,width,height,pixels,timeMs
Mandelbrot,CPU,640,480,307200,450.719
Julia,CPU,640,480,307200,118.821
Mandelbrot,GPU,640,480,307200,3.3985
Julia,GPU,640,480,307200,0.059552
Mandelbrot,CPU,800,600,480000,593.776
Julia,CPU,800,600,480000,185.097
Mandelbrot,GPU,800,600,480000,0.086752
Julia,GPU,800,600,480000,0.068928
Mandelbrot,CPU,1024,768,786432,973.383
Julia,CPU,1024,768,786432,304.317
Mandelbrot,GPU,1024,768,786432,0.118112
Julia,GPU,1024,768,786432,0.096736
Mandelbrot,CPU,1280,720,921600,1142.26
Julia,CPU,1280,720,921600,353.751
Mandelbrot,GPU,1280,720,921600,0.127584
Julia,GPU,1280,720,921600,0.107072
Mandelbrot,CPU,1920,1080,2073600,2577.14
Julia,CPU,1920,1080,2073600,795.396
Mandelbrot,GPU,1920,1080,2073600,0.261376
Julia,GPU,1920,1080,2073600,0.2088
Mandelbrot,GPU,2560,1440,3686400,0.42512
Julia,GPU,2560,1440,3686400,0.349312
Mandelbrot,GPU,3840,2160,8294400,0.905568
Julia,GPU,3840,2160,8294400,0.736416
Mandelbrot,GPU,7680,4320,33177600,3.51152
Julia,GPU,7680,4320,33177600,2.71939
Mandelbrot,GPU,15360,8640,132710400,16.9204
Julia,GPU,15360,8640,132710400,12.084
Mandelbrot,GPU,30000,30000,900000000,96.5946
Julia,GPU,30000,30000,900000000,68.3581
