type,device,width,height,pixels,timeMs
Mandelbrot,CPU,640,480,307200,352.59
Julia,CPU,640,480,307200,112.901
Mandelbrot,GPU,640,480,307200,0.691776
Julia,GPU,640,480,307200,0.546976
Mandelbrot,CPU,800,600,480000,539.502
Julia,CPU,800,600,480000,172.965
Mandelbrot,GPU,800,600,480000,0.787232
Julia,GPU,800,600,480000,0.804128
Mandelbrot,CPU,1024,768,786432,894.534
Julia,CPU,1024,768,786432,289.736
Mandelbrot,GPU,1024,768,786432,1.21053
Julia,GPU,1024,768,786432,1.20445
Mandelbrot,CPU,1280,720,921600,1045.63
Julia,CPU,1280,720,921600,341.102
Mandelbrot,GPU,1280,720,921600,1.38198
Julia,GPU,1280,720,921600,1.39056
Mandelbrot,CPU,1920,1080,2073600,2361.99
Julia,CPU,1920,1080,2073600,742.583
Mandelbrot,GPU,1920,1080,2073600,2.91968
Julia,GPU,1920,1080,2073600,2.88768
Mandelbrot,GPU,2560,1440,3686400,5.02586
Julia,GPU,2560,1440,3686400,4.95258
Mandelbrot,GPU,3840,2160,8294400,11.038
Julia,GPU,3840,2160,8294400,10.6348
Mandelbrot,GPU,7680,4320,33177600,43.0868
Julia,GPU,7680,4320,33177600,38.8725
Mandelbrot,GPU,15360,8640,132710400,118.662
Julia,GPU,15360,8640,132710400,83.6627
Mandelbrot,GPU,30000,30000,900000000,524.42
Julia,GPU,30000,30000,900000000,395.506
