N,CPU,GPU_8,GPU_16,GPU_32
128,3.864e-05,6.89158e-05,2.04096e-06,2.05568e-06
256,0.00015478,2.08384e-06,2.06208e-06,2.08512e-06
512,0.00060814,4.70528e-06,2.07232e-06,4.112e-06
768,0.00109154,6.94592e-06,4.13312e-06,4.12288e-06
1024,0.00191782,1.08691e-05,4.5312e-06,7.96288e-06
1536,0.00435212,1.93344e-05,8.21824e-06,1.43731e-05
2048,0.00779128,3.37389e-05,1.43789e-05,2.25626e-05
2560,0.0122695,5.03878e-05,2.11309e-05,3.4848e-05
3072,0.0175886,9.58534e-05,8.57402e-05,0.000107372
4096,0.0323307,0.000170248,0.000166934,0.000185155
8192,0.124964,0.000668068,0.000666788,0.000715784
16384,0.501125,0.003014,0.00284875,0.00288698
