type,device,width,height,pixels,timeMs
Mandelbrot,CPU,640,480,307200,481.04
Mandelbrot,GPU,640,480,307200,0.173536
Julia,GPU,640,480,307200,0.055552
Mandelbrot,CPU,800,600,480000,595.488
Mandelbrot,GPU,800,600,480000,0.154016
Julia,GPU,800,600,480000,0.067872
Mandelbrot,CPU,1024,768,786432,983.026
Mandelbrot,GPU,1024,768,786432,0.191072
Julia,GPU,1024,768,786432,0.09824
Mandelbrot,CPU,1280,720,921600,1144.45
Mandelbrot,GPU,1280,720,921600,0.200832
Julia,GPU,1280,720,921600,0.10704
Mandelbrot,CPU,1920,1080,2073600,2571.91
Mandelbrot,GPU,1920,1080,2073600,0.331424
Julia,GPU,1920,1080,2073600,0.211168
Mandelbrot,GPU,2560,1440,3686400,0.435168
Julia,GPU,2560,1440,3686400,0.351584
Mandelbrot,GPU,3840,2160,8294400,0.916608
Julia,GPU,3840,2160,8294400,0.744128
Mandelbrot,GPU,7680,4320,33177600,4.76397
Julia,GPU,7680,4320,33177600,3.13453
Mandelbrot,GPU,15360,8640,132710400,16.0685
Julia,GPU,15360,8640,132710400,11.9997
Mandelbrot,GPU,30000,30000,900000000,101.047
Julia,GPU,30000,30000,900000000,70.934
